Station;Longitude;Latitude;Elevation;Gravity
269 ;         -50.17291667;  -16.58541667;  6.300000E+02;  9.782765966678E+05
270 ;         -50.16875000;  -16.58541667;  6.380000E+02;  9.782735672997E+05
271 ;         -50.16458333;  -16.58541667;  6.420000E+02;  9.782717902275E+05
272 ;         -50.16041667;  -16.58541667;  6.480000E+02;  9.782694167369E+05
273 ;         -50.15625000;  -16.58541667;  6.460000E+02;  9.782695384420E+05
274 ;         -50.15208333;  -16.58541667;  6.710000E+02;  9.782613583328E+05
275 ;         -50.14791667;  -16.58541667;  7.150000E+02;  9.782473543197E+05
276 ;         -50.14375000;  -16.58541667;  7.110000E+02;  9.782481965640E+05
277 ;         -50.13958333;  -16.58541667;  6.850000E+02;  9.782558617463E+05
278 ;         -50.13541667;  -16.58541667;  6.610000E+02;  9.782629500601E+05
279 ;         -50.13125000;  -16.58541667;  6.490000E+02;  9.782663815310E+05
280 ;         -50.12708333;  -16.58541667;  6.380000E+02;  9.782695498784E+05
281 ;         -50.12291667;  -16.58541667;  6.400000E+02;  9.782687565644E+05
282 ;         -50.11875000;  -16.58541667;  6.360000E+02;  9.782698589112E+05
283 ;         -50.11458333;  -16.58541667;  6.250000E+02;  9.782731646922E+05
284 ;         -50.11041667;  -16.58541667;  6.390000E+02;  9.782688048434E+05
285 ;         -50.10625000;  -16.58541667;  6.460000E+02;  9.782666430560E+05
286 ;         -50.10208333;  -16.58541667;  6.410000E+02;  9.782682196431E+05
287 ;         -50.09791667;  -16.58541667;  6.310000E+02;  9.782713731776E+05
288 ;         -50.09375000;  -16.58541667;  6.250000E+02;  9.782733223505E+05
289 ;         -50.08958333;  -16.58541667;  6.210000E+02;  9.782746786136E+05
290 ;         -50.08541667;  -16.58541667;  6.260000E+02;  9.782732733577E+05
291 ;         -50.08125000;  -16.58541667;  6.320000E+02;  9.782715695768E+05
292 ;         -50.07708333;  -16.58541667;  6.450000E+02;  9.782677054923E+05
293 ;         -50.07291667;  -16.58541667;  6.630000E+02;  9.782622903380E+05
294 ;         -50.06875000;  -16.58541667;  6.670000E+02;  9.782611935865E+05
295 ;         -50.06458333;  -16.58541667;  6.690000E+02;  9.782606993426E+05
296 ;         -50.06041667;  -16.58541667;  6.920000E+02;  9.782536805576E+05
297 ;         -50.05625000;  -16.58541667;  7.090000E+02;  9.782484860496E+05
298 ;         -50.05208333;  -16.58541667;  7.020000E+02;  9.782506879154E+05
299 ;         -50.04791667;  -16.58541667;  7.110000E+02;  9.782478913109E+05
300 ;         -50.04375000;  -16.58541667;  7.190000E+02;  9.782453560488E+05
301 ;         -50.03958333;  -16.58541667;  7.110000E+02;  9.782477278851E+05
302 ;         -50.03541667;  -16.58541667;  6.880000E+02;  9.782546951293E+05
303 ;         -50.03125000;  -16.58541667;  6.820000E+02;  9.782563312195E+05
304 ;         -50.02708333;  -16.58541667;  6.840000E+02;  9.782554220279E+05
305 ;         -50.02291667;  -16.58541667;  6.790000E+02;  9.782566170924E+05
306 ;         -50.01875000;  -16.58541667;  6.840000E+02;  9.782546422081E+05
307 ;         -50.01458333;  -16.58541667;  6.980000E+02;  9.782498074719E+05
308 ;         -50.01041667;  -16.58541667;  7.030000E+02;  9.782476957047E+05
309 ;         -50.00625000;  -16.58541667;  7.170000E+02;  9.782427270151E+05
310 ;         -50.00208333;  -16.58541667;  7.100000E+02;  9.782442029597E+05
311 ;         -49.99791667;  -16.58541667;  7.230000E+02;  9.782394185815E+05
312 ;         -49.99375000;  -16.58541667;  7.310000E+02;  9.782361262665E+05
313 ;         -49.98958333;  -16.58541667;  7.300000E+02;  9.782355671747E+05
314 ;         -49.98541667;  -16.58541667;  7.170000E+02;  9.782386711798E+05
315 ;         -49.98125000;  -16.58541667;  6.980000E+02;  9.782435828607E+05
316 ;         -49.97708333;  -16.58541667;  6.820000E+02;  9.782475229205E+05
317 ;         -49.97291667;  -16.58541667;  6.910000E+02;  9.782437014743E+05
318 ;         -49.96875000;  -16.58541667;  6.950000E+02;  9.782414021716E+05
319 ;         -49.96458333;  -16.58541667;  6.780000E+02;  9.782455678267E+05
320 ;         -49.96041667;  -16.58541667;  6.990000E+02;  9.782379961169E+05
321 ;         -49.95625000;  -16.58541667;  7.090000E+02;  9.782338201548E+05
322 ;         -49.95208333;  -16.58541667;  6.950000E+02;  9.782370468549E+05
323 ;         -49.94791667;  -16.58541667;  6.950000E+02;  9.782359697633E+05
324 ;         -49.94375000;  -16.58541667;  7.220000E+02;  9.782266019695E+05
325 ;         -49.93958333;  -16.58541667;  7.370000E+02;  9.782209597290E+05
326 ;         -49.93541667;  -16.58541667;  7.350000E+02;  9.782205807360E+05
327 ;         -49.93125000;  -16.58541667;  7.330000E+02;  9.782202386209E+05
328 ;         -49.92708333;  -16.58541667;  7.170000E+02;  9.782242396067E+05
